Ticket ID,Customer Name,Customer Email,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Subject,Ticket Status,Resolution,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Customer ID,Industry,Region,Company Size,Plan Type,Account Created Date,Usage Months,Total Active Days,Total Sessions,Total Product Actions,Average Collaborators,Average Integrations Used,First Month Sessions,Last Month Sessions,Session Trend per Month,Active Day Trend per Month,Sessions per Active Day,Actions per Session,Session Change Percent,First Response Time Parsed,Time to Resolution Parsed,Account Age Years,Resolution Hours Raw,Resolution Time Valid,Resolution Hours Clean,At Risk
1,Marisa Obrien,carrollallison@example.com,32,Other,Jira,22-03-2021,Technical issue,Product setup,Pending Customer Response,,Critical,Social media,01-06-2023 12:15,,,CUST01085,Technology,Europe,1000+,Free,2021-02-12,5,21,46,226,9.6,0.8,10,12,0.19999999999999954,0.0999999999999999,2.1904761904761907,4.913043478260869,0.2,2023-06-01 12:15:00,,2.297056810403833,,False,,0
2,Jessica Rios,clarkeashley@example.com,42,Female,Confluence,22-05-2021,Technical issue,Integration,Pending Customer Response,,Critical,Chat,01-06-2023 16:45,,,CUST01335,Financial Services,North America,11-50,Standard,2019-12-07,5,16,32,170,7.6,3.0,5,8,0.7999999999999996,0.5,2.0,5.3125,0.6,2023-06-01 16:45:00,,3.482546201232033,,False,,0
3,Christopher Robbins,gonzalestracy@example.com,48,Other,Trello,14-07-2020,Technical issue,Network problem,Closed,Case maybe show recently my computer follow.,Low,Social media,01-06-2023 11:14,01-06-2023 18:05,3.0,CUST02581,Media & Communications,North America,201-500,Premium,2019-06-17,5,61,124,694,13.0,3.6,24,27,0.2999999999999971,0.5999999999999989,2.0327868852459017,5.596774193548387,0.125,2023-06-01 11:14:00,2023-06-01 18:05:00,3.9561943874058865,6.85,True,6.85,0
4,Christina Dillon,bradleyolson@example.org,27,Female,Loom,13-11-2020,Billing inquiry,Account access,Closed,Try capital clearly never color toward story.,Low,Social media,01-06-2023 07:29,01-06-2023 01:57,3.0,CUST00742,Professional Services,Australia & New Zealand,51-200,Premium,2019-06-19,5,24,46,297,9.2,4.0,8,5,-0.9000000000000011,-0.40000000000000013,1.9166666666666667,6.456521739130435,-0.375,2023-06-01 07:29:00,2023-06-01 01:57:00,3.9507186858316223,-5.533333333333333,False,,0
5,Alexander Carroll,bradleymark@example.com,67,Female,Bitbucket,04-02-2020,Billing inquiry,Data loss,Closed,West decision evidence bit.,Low,Email,01-06-2023 00:12,01-06-2023 19:53,1.0,CUST00741,Manufacturing,Australia & New Zealand,501-1000,Enterprise,2019-09-13,5,36,71,475,11.6,6.8,16,14,-0.6000000000000012,-0.20000000000000084,1.9722222222222223,6.690140845070423,-0.125,2023-06-01 00:12:00,2023-06-01 19:53:00,3.7152635181382614,19.683333333333334,True,19.683333333333334,0
6,Rebecca Fleming,sheenasmith@example.com,53,Male,Loom,28-07-2020,Cancellation request,Payment issue,Open,,Low,Social media,,,,CUST06779,Healthcare,Europe,51-200,Free,2019-11-25,5,19,42,249,6.6,1.2,8,11,0.299999999999999,0.09999999999999945,2.210526315789474,5.928571428571429,0.375,,,,,False,,1
7,Jacqueline Wright,donaldkeith@example.org,24,Other,Jira,23-02-2020,Product inquiry,Refund request,Open,,Critical,Social media,,,,CUST01920,Professional Services,Australia & New Zealand,51-200,Premium,2019-11-20,5,52,114,663,10.2,3.0,22,21,-0.6999999999999996,-0.400000000000001,2.1923076923076925,5.815789473684211,-0.045454545454545456,,,,,False,,0
8,Denise Lee,joelwilliams@example.com,23,Male,Confluence,09-08-2020,Refund request,Loading issue,Open,,Critical,Social media,,,,CUST03575,Financial Services,Asia-Pacific,201-500,Standard,2020-02-14,5,29,57,409,10.4,2.8,8,12,1.0999999999999992,0.7999999999999998,1.9655172413793103,7.175438596491228,0.5,,,,,False,,1
9,Nicolas Wilson,joshua24@example.com,60,Other,Trello,16-07-2020,Technical issue,Installation support,Pending Customer Response,,Low,Social media,01-06-2023 10:32,,,CUST03782,Education,Europe,11-50,Premium,2019-08-17,5,43,89,487,10.8,4.4,21,18,-1.0000000000000029,-0.7000000000000002,2.0697674418604652,5.47191011235955,-0.14285714285714285,2023-06-01 10:32:00,,3.789185489390828,,False,,0
10,William Dawson,clopez@example.com,27,Male,Loom,06-03-2020,Refund request,Payment issue,Pending Customer Response,,Critical,Phone,01-06-2023 09:25,,,CUST01352,Financial Services,Asia-Pacific,51-200,Standard,2019-08-13,5,22,50,296,9.8,2.0,8,8,-0.10000000000000031,-0.10000000000000066,2.272727272727273,5.92,0.0,2023-06-01 09:25:00,,3.800136892539357,,False,,1
